,City,jpin,title,category_name,status,Exact title,ID,
212,Chennai,JPIN-1304474042,"GRB Ghee, 200ml Jar","Oil, Ghee and Vanaspati",pending,GRB Ghee 200 ml ( Jar),213,GRB Ghee 200 ml (Jar)
213,Chennai,JPIN-1304474037,"GRB Ghee, 200ml Standup Pouch","Oil, Ghee and Vanaspati",pending,GRB Ghee 200 ml (Pouch),214,GRB Ghee 200 ml (Pouch)
214,Chennai,JPIN-1304474036,"GRB Ghee, 500ml Jar","Oil, Ghee and Vanaspati",pending,GRB Ghee 500 ml (Jar),215,GRB Ghee 500 ml (Jar)
215,Chennai,JPIN-1304474033,"GRB Udhayam Ghee, 100ml Standup Pouch","Oil, Ghee and Vanaspati",pending,GRB Udhayam Ghee 100 ml (Pouch),216,GRB Udhayam Ghee 100 ml (Pouch)
79,Chennai,JPIN-1304475800,"Hamam Neem Bathing Bar, 100g Pack",Personal Care,pending,"Hamam Neem , Tulsi & Aloe Vera  Soap 100 g",80,"Hamam Neem, Tulsi & Aloe Vera Soap 100 g"
80,Chennai,JPIN-1304475808,"Hamam Neem Bathing Bar, 150g Pack",Personal Care,pending,"Hamam Neem , Tulsi & Aloe Vera  Soap 150 g",81,"Hamam Neem, Tulsi & Aloe Vera Soap 150 g"
81,Chennai,JPIN-1304475191,"Harpic Disinfectant Bathroom Cleaner, Floral, 500ml Bottle",Home Care,pending,Harpic Floral Disinfectant Bathroom Cleaner 500 ml,82,Harpic Floral Disinfectant Bathroom Cleaner 500 ml
245,Chennai,JPIN-1304475640,"Harpic Disinfectant Bathroom Cleaner, Lemon, 1L Bottle",Home Care,pending,Harpic Lemon Disinfectant Bathroom Cleaner 1 L,246,Harpic Lemon Disinfectant Bathroom Cleaner 1 L
246,Chennai,JPIN-1304479051,"Harpic Disinfectant Bathroom Cleaner, Lemon, 200ml Bottle",Home Care,pending,Harpic Lemon Disinfectant Bathroom Cleaner 200 ml,247,Harpic Lemon Disinfectant Bathroom Cleaner 200 ml
229,Chennai,JPIN-1304475594,"Harpic Disinfectant Bathroom Cleaner, Lemon, 500ml Bottle",Home Care,pending,"Harpic Disinfectant Bathroom Cleaner, Lemon, 500ml Bottle",230,Harpic Lemon Disinfectant Bathroom Cleaner 500 ml
82,Chennai,JPIN-1304475342,"Harpic Power Plus Toilet Cleaner, Original, 1L Bottle",Home Care,pending,Harpic Power Plus Original Disinfectant  Toilet Cleaner 1 L,83,Harpic Power Plus Original Disinfectant Toilet Cleaner 1 L
83,Chennai,JPIN-1304475592,"Harpic Power Plus Toilet Cleaner, Original, 500ml Bottle",Home Care,pending,Harpic Power Plus Original Disinfectant  Toilet Cleaner 500 ml,84,Harpic Power Plus Rose Disinfectant Toilet Cleaner 500 ml
195,Chennai,JPIN-1304464775,"Himalaya Baby Lotion, 100ml Bottle",Baby Care,pending,Himalaya Baby Lotion 100 ml,196,Himalaya Baby Lotion 100 ml
184,Chennai,JPIN-1304465664,"Himalaya Baby Massage Oil, 100ml Bottle",Baby Care,pending,Himalaya Baby Massage Oil 100 ml,185,Himalaya Baby Massage Oil 100 ml
84,Chennai,JPIN-1304475657,"Himalaya Baby Powder, 100g Bottle",Baby Care,pending,Himalaya Baby Powder 100 g,85,Himalaya Baby Powder 100 g
182,Chennai,JPIN-1304475659,"Himalaya Extra Moisturizing Baby Soap, 75g Box",Baby Care,pending,Himalaya Extra Moisturizing Baby Soap 75 g,183,"Himalaya Extra Moisturizing Baby Soap, 75g Box"
187,Chennai,JPIN-1304465689,"Himalaya Gentle Baby Shampoo, 100ml Bottle",Baby Care,pending,Himalaya Gentle Baby Shampoo with Hibiscus & Chickpea 100 ml,188,Himalaya Gentle Baby Shampoo 100 ml
181,Chennai,JPIN-1304465688,"Himalaya Gentle Baby Shampoo, 200ml Bottle",Baby Care,pending,Himalaya Gentle Baby Shampoo 200 ml B,182,Himalaya Gentle Baby Shampoo 200 ml B
185,Chennai,JPIN-1304465690,"Himalaya Gentle Baby Wipes, Extra Soft, 72Pcs Pack",Baby Care,pending,Himalaya Gentle Baby Wipes 72 Pcs,186,Himalaya Gentle Baby Wipes 72 Pcs
197,Chennai,JPIN-1304475653,"Himalaya Refreshing Baby Soap, 75g Box",Baby Care,pending,Himalaya Refreshing Baby Soap  75 g,198,Himalaya Refreshing Baby Soap  75 g
235,Chennai,JPIN-1304472710,"Horlicks Classic Malt, 20g Sachet",Health Care,pending,Horlicks Classic Malt 20 g,236,Horlicks Classic Malt 20 g
221,Chennai,JPIN-1304472273,"India Gate Dubar Basmati Rice, 1Kg Pack",Rice and Rice products,pending,India Gate Dubar Basmati Rice 1 Kg,222,India Gate Dubar Basmati Rice 1 kg
